,f,L,C,pl_s1,pr_s1,pl_s2,pr_s2,pl_l,pr_l,pl_c,pr_c,pfe,pin,pout,eff,ilmax,ilmin,vmax,vmin
0,100000,5.40E-06,0.0001023,233.454673,223.18491,223.18491,-91.1451,-91.1451,-91.07420061,-91.07420061,-91.03800061,9.44E-05,233.454673,91.03800061,0.38996007,9.2151,5.1503,12.7679,10.3705
1,100000,2.01E-05,0.0001023,185.263468,178.88056,178.88056,-96.8146,-96.8146,-96.51813601,-96.51813601,-96.46713601,0.00103949,185.263468,96.46713601,0.520702419,9.00607,6.57832,12.2904,11.3391
2,100000,3.49E-05,0.0001023,150.804093,147.05231,147.05231,-98.8151,-98.8151,-98.27927846,-98.27927846,-98.25287846,0.00297084,150.804093,98.25287846,0.651526603,8.9464,7.05176,12.1773,11.5611
3,100000,4.96E-05,0.0001023,137.56526,134.8662,134.8662,-100.164,-100.164,-99.3847235,-99.3847235,-99.3623235,0.00514556,137.56526,99.3623235,0.722292267,8.86776,7.3604,12.1307,11.6743
4,100000,6.43E-05,0.0001023,131.15445,128.9855,128.9855,-101.099,-101.099,-100.0819285,-100.0819285,-100.0746285,0.00741359,131.15445,100.0746285,0.763028845,8.79919,7.55669,12.1028,11.7418
5,100000,7.91E-05,0.0001023,124.80258,123.1496,123.1496,-101.897,-101.897,-100.6395484,-100.6395484,-100.6228484,0.00964612,124.80258,100.6228484,0.806256156,8.73933,7.69142,12.0862,11.7869
6,100000,9.38E-05,0.0001023,124.81121,123.2017,123.2017,-102.508,-102.508,-101.0199236,-101.0199236,-101.0160236,0.0118029,124.81121,101.0160236,0.809350567,8.68801,7.78489,12.0723,11.8175
7,100000,0.0001085,0.0001023,118.75426,117.6232,117.6232,-103.081,-103.081,-101.3628342,-101.3628342,-101.3664342,0.0144164,118.75426,101.3664342,0.853581456,8.65931,7.85348,12.0635,11.8407
8,100000,0.0001232,0.0001023,119.0155,117.906,117.906,-103.641,-103.641,-101.6970523,-101.6970523,-101.6892523,0.0167881,119.0155,101.6892523,0.854420242,8.63144,7.91027,12.0573,11.8605
9,100000,0.000138,0.0001023,119.33174,118.2368,118.2368,-104.159,-104.159,-101.977353,-101.977353,-101.977353,0.0193634,119.33174,101.977353,0.854570234,8.60952,7.95445,12.0519,11.8751
10,100000,0.0001527,0.0001023,119.69313,118.6131,118.6131,-104.727,-104.727,-102.2777258,-102.2777258,-102.2648258,0.0220923,119.69313,102.2648258,0.854391775,8.59153,7.98909,12.0465,11.8858
11,100000,0.0001674,0.0001023,119.46175,118.4275,118.4275,-105.13,-105.13,-102.4726424,-102.4726424,-102.4586424,0.0251517,119.46175,102.4586424,0.857669023,8.57712,8.01613,12.0421,11.8941
12,100000,0.0001822,0.0001023,113.78161,113.1927,113.1927,-105.621,-105.621,-102.7103329,-102.7103329,-102.7044329,0.0278918,113.78161,102.7044329,0.902645277,8.56054,8.03948,12.0385,11.9025
13,100000,0.0001969,0.0001023,114.22494,113.6508,113.6508,-106.269,-106.269,-103.0452885,-103.0452885,-103.0371885,0.0305376,114.22494,103.0371885,0.90205509,8.54562,8.05968,12.0369,11.9112
14,100000,0.0002116,0.0001023,114.33608,113.7786,113.7786,-106.611,-106.611,-103.2263114,-103.2263114,-103.2066114,0.0324752,114.33608,103.2066114,0.902660048,8.53157,8.08123,12.0374,11.9192
15,100000,0.0002264,0.0001023,114.76044,114.2038,114.2038,-107.047,-107.047,-103.4326184,-103.4326184,-103.4174184,0.0341475,114.76044,103.4174184,0.901159131,8.51915,8.10145,12.0357,11.9259
16,100000,0.0002411,0.0001023,115.17057,114.6119,114.6119,-107.429,-107.429,-103.5930613,-103.5930613,-103.6052613,0.0366065,115.17057,103.6052613,0.899581042,8.5064,8.11252,12.0341,11.9308
17,100000,0.0002558,0.0001023,115.69957,115.1409,115.1409,-107.958,-107.958,-103.8466071,-103.8466071,-103.8470071,0.0389187,115.69957,103.8470071,0.897557416,8.49866,8.12674,12.0325,11.9358
18,100000,0.0002705,0.0001023,116.14715,115.5875,115.5875,-108.392,-108.392,-104.0488442,-104.0488442,-104.0400442,0.0415423,116.14715,104.0400442,0.89576063,8.4914,8.13781,12.0318,11.9397
19,100000,0.0002853,0.0001023,116.37056,115.8142,115.8142,-108.661,-108.661,-104.1478175,-104.1478175,-104.1627175,0.0438829,116.37056,104.1627175,0.895095095,8.48288,8.14717,12.0309,11.9431
20,100000,0.0003,0.0001023,116.96585,116.4055,116.4055,-109.201,-109.201,-104.3958953,-104.3958953,-104.3994953,0.0459726,116.96585,104.3994953,0.8925639,8.47522,8.15636,12.0289,11.9461
21,100000,0.0003147,0.0001023,117.34987,116.7919,116.7919,-109.618,-109.618,-104.5866703,-104.5866703,-104.5778703,0.0498003,117.34987,104.5778703,0.891163069,8.47269,8.16368,12.0285,11.9487
22,100000,5.40E-06,0.0001021,232.291625,222.10575,222.10575,-91.1445,-91.1445,-91.0725932,-91.0725932,-91.0127932,8.08E-05,232.291625,91.0127932,0.391804023,9.14739,5.3846,12.7735,10.3829
