Vref,P,D1,D2
160,100,0.6177062996402306,0.7667735433601944
160,200,0.6421710475058426,0.7782805867344524
160,300,0.6779662698526471,0.7769352550911073
160,400,0.7563968753809613,0.9853397072697692
160,500,0.8353332568882414,0.9989229878741588
160,600,0.8094789098982526,0.9904529261528514
160,700,0.7724213498700613,0.9978101923054756
160,800,0.973325947243388,0.9402470709401308
160,900,0.9999656275368675,0.9057302989730072
160,1000,0.9779004656097205,0.9480771008922003
180,100,0.6923938891099617,0.7335130488950636
180,200,0.7412726441997477,0.7826556584122466
180,300,0.9616507740899333,0.9944612506059213
180,400,0.9410858697018921,0.9926477464051818
180,500,0.896230541217555,0.903319151300764
180,600,0.8712390400566158,0.9953507887446503
180,700,0.8552395840603125,0.9952856395346721
180,800,0.8324606158069559,0.99663855479939
180,900,0.8145341211402329,0.9228870392262648
180,1000,0.8477347549097677,0.997853011616691
200,100,0.6339023516633878,0.6013859413191612
200,200,0.6874508532401272,0.6408262682335139
200,300,0.9937555685625358,0.9691017862630211
200,400,0.9890495089174737,0.9736955916804313
200,500,0.9661969031388121,0.9453503348266026
200,600,0.9985298614127687,0.8983384098234445
200,700,0.9572140463334293,0.873296404698575
200,800,0.9727839323248058,0.8801490335775952
200,900,0.9671801396739921,0.8877685089658991
200,1000,0.9179665884418908,0.9931861959997869
220,100,0.6788567640470681,0.6241218101130446
220,200,0.6970163170652962,0.6081522365071393
220,300,0.9973204573631664,0.8984930510453599
220,400,0.9965670310301519,0.8879607479657303
220,500,0.9398688232271235,0.8890440607538129
220,600,0.988239338063407,0.8750105342799412
220,700,0.9753607363219436,0.8702381121459886
220,800,0.9999347297342696,0.835488395463476
220,900,0.9958871045162424,0.84114254088264
220,1000,0.9995542569363951,0.7751882332466383
240,100,0.7378040235409729,0.6063348037813807
240,200,0.7429949689913444,0.6092793782012751
240,300,0.7608125406448839,0.626537851459091
240,400,0.7695240087589886,0.6343283044830584
240,500,0.8284974490758517,0.685458257000332
240,600,0.9955872054587481,0.8258966988269768
240,700,0.9894400160823716,0.8033540346590885
240,800,0.9582711020435581,0.7610089423449466
240,900,0.9997434679942221,0.7926724274887516
240,1000,0.9906445620840233,0.7935372649003155
