idx,Vin,Vref,P,D1,D2,D0,Validity,ipk2pk,irms,vp_t1,vp_t2,vp_t3,vp_t4,vs_t1,vs_t2,vs_t3,vs_t4,Vo
0,200,160,100,0.6,0.6,0.001907042,1,6.808840989,2.045684698,1,1,1,1,0,0,0,0,159.8962614
1,200,160,100,0.6,0.62,-0.000406761,1,6.16809088,1.797907233,1,1,1,1,0,0,0,0,159.9549383
2,200,160,100,0.6,0.64,-0.020191654,1,5.841870166,1.627619922,1,1,1,1,0,0,0,0,160.0649504
3,200,160,100,0.6,0.66,-0.019505028,1,7.085648436,1.756429966,1,1,1,1,0,0,1,0,159.9126031
4,200,160,100,0.6,0.68,-0.039893995,1,6.754050932,1.590366255,1,1,1,1,0,0,1,0,160.0859415
5,200,160,100,0.6,0.7,-0.040052527,1,6.13793698,1.400504971,1,1,1,1,0,0,1,0,159.9229636
6,200,160,100,0.6,0.72,-0.060762868,1,5.80370097,1.306370839,1,1,1,1,0,0,0,0,160.1276233
7,200,160,100,0.6,0.74,-0.061512261,1,6.427576928,1.406229984,1,1,1,1,0,0,0,0,160.0969227
8,200,160,100,0.6,0.76,-0.060051259,1,6.375580452,1.386495727,1,1,1,1,1,1,1,1,159.9101567
9,200,160,100,0.6,0.78,-0.061094008,1,6.350555185,1.391088395,1,1,1,1,1,1,1,1,160.0085631
10,200,160,100,0.6,0.8,-0.078173848,1,6.358794015,1.443635318,1,1,1,1,1,1,1,1,159.9288792
11,200,160,100,0.6,0.82,-0.079540585,1,6.977387501,1.630949999,1,1,1,1,1,1,1,1,159.9544023
12,200,160,100,0.6,0.84,-0.100327409,1,5.723826306,1.42070733,1,1,1,1,1,1,1,1,160.1156924
13,200,160,100,0.6,0.86,-0.099533133,1,6.968614566,1.72085412,1,1,1,1,1,1,1,1,159.9630775
14,200,160,100,0.6,0.88,-0.118920187,1,6.656358114,1.685935544,1,1,1,1,1,1,1,1,160.0265237
15,200,160,100,0.6,0.9,-0.119970957,1,6.957544797,1.813917805,1,1,1,1,1,1,1,1,160.0106506
16,200,160,100,0.6,0.92,-0.140415261,1,5.77978656,1.617499671,1,1,1,1,1,1,1,1,160.1372473
17,200,160,100,0.6,0.94,-0.141644453,1,6.420145918,1.746373767,1,1,1,1,1,1,1,1,160.15097
18,200,160,100,0.6,0.96,-0.15809273,1,6.801696275,1.799272347,1,1,1,1,1,1,1,1,159.947604
19,200,160,100,0.6,0.98,-0.160967578,1,7.440632386,1.750847739,1,1,1,1,1,1,1,1,160.0764231
20,200,160,100,0.6,1,-0.178947153,1,8.086795509,1.86353033,1,1,1,1,1,1,1,1,160.0495789
21,200,160,100,0.62,0.6,0.01868247,1,6.32242557,2.141735724,1,1,1,1,0,0,0,0,160.0372896
22,200,160,100,0.62,0.62,0.000101731,1,6.946744502,2.081360798,1,1,1,1,0,0,0,0,160.0727031
23,200,160,100,0.62,0.64,-0.000686014,1,6.325153465,1.845100644,1,1,1,1,0,0,0,0,159.9639422
24,200,160,100,0.62,0.66,-0.018988347,1,6.936996383,1.832670619,1,1,1,1,0,0,0,0,160.0082954
25,200,160,100,0.62,0.68,-0.020372918,1,6.312060782,1.614312619,1,1,1,1,0,0,1,0,159.9371176
26,200,160,100,0.62,0.7,-0.039074541,1,6.923858663,1.654703048,1,1,1,1,0,0,1,0,159.9895005
27,200,160,100,0.62,0.72,-0.041085699,1,6.288221028,1.460551034,1,1,1,1,0,0,1,0,160.0074961
28,200,160,100,0.62,0.74,-0.060381805,1,5.970025175,1.372006236,1,1,1,1,0,0,0,0,160.0787761
29,200,160,100,0.62,0.76,-0.061712841,1,6.266938727,1.392475305,1,1,1,1,0,0,0,0,160.0853634
30,200,160,100,0.62,0.78,-0.079815438,1,6.599679571,1.457993317,1,1,1,1,1,1,1,1,160.244782
31,200,160,100,0.62,0.8,-0.077649374,1,6.357580635,1.416442282,1,1,1,1,1,1,1,1,160.0094044
32,200,160,100,0.62,0.82,-0.079787989,1,6.825347477,1.549436449,1,1,1,1,1,1,1,1,160.093681
33,200,160,100,0.62,0.84,-0.08019721,1,6.211866236,1.452234932,1,1,1,1,1,1,1,1,159.9553651
34,200,160,100,0.62,0.86,-0.099021431,1,6.825801391,1.617729423,1,1,1,1,1,1,1,1,160.0266564
35,200,160,100,0.62,0.88,-0.101689878,1,6.50972348,1.591841178,1,1,1,1,1,1,1,1,160.1247033
36,200,160,100,0.62,0.9,-0.118520868,1,6.503625003,1.641660692,1,1,1,1,1,1,1,1,159.963765
37,200,160,100,0.62,0.92,-0.119374792,1,7.130273561,1.815756538,1,1,1,1,1,1,1,1,159.9355837
38,200,160,100,0.62,0.94,-0.140518295,1,5.877326219,1.600553414,1,1,1,1,1,1,1,1,160.1368364
39,200,160,100,0.62,0.96,-0.140001571,1,6.198883437,1.674896002,1,1,1,1,1,1,1,1,159.9557291
40,200,160,100,0.62,0.98,-0.158486098,1,6.731225581,1.763441903,1,1,1,1,1,1,1,1,159.9744057
41,200,160,100,0.62,1,-0.159345943,1,7.369284874,1.900068115,1,1,1,1,1,1,1,1,159.9441761
42,200,160,100,0.64,0.6,0.020189442,1,7.112547947,2.422372183,1,1,1,1,0,0,0,0,160.0478207
43,200,160,100,0.64,0.62,0.019145495,1,6.486395408,2.178117562,1,1,1,1,0,0,0,0,159.977342
44,200,160,100,0.64,0.64,0.000410334,1,7.107797291,2.124206408,1,1,1,1,0,0,0,0,160.0323899
45,200,160,100,0.64,0.66,-0.000278231,1,6.489430788,1.893666604,1,1,1,1,0,0,0,0,159.9114752
46,200,160,100,0.64,0.68,-0.020706592,1,6.155551386,1.731030635,1,1,1,1,0,0,0,0,160.0941043
47,200,160,100,0.64,0.7,-0.022504783,1,6.7662389,1.72687453,1,1,1,1,0,0,0,0,160.1553502
48,200,160,100,0.64,0.72,-0.040867994,1,6.138843967,1.542273322,1,1,1,1,0,0,1,0,160.1033528
49,200,160,100,0.64,0.74,-0.04003943,1,6.462716898,1.528757608,1,1,1,1,0,0,1,0,159.8863653
50,200,160,100,0.64,0.76,-0.060663653,1,6.12826187,1.435475089,1,1,1,1,0,0,0,0,160.0962011
51,200,160,100,0.64,0.78,-0.060468803,1,6.444046603,1.45969646,1,1,1,1,0,0,0,0,159.9490996
52,200,160,100,0.64,0.8,-0.078134395,1,6.687268599,1.508686874,1,1,1,1,1,1,1,1,159.9410282
53,200,160,100,0.64,0.82,-0.080761182,1,6.016575231,1.387566837,1,1,1,1,1,1,1,1,160.156377
54,200,160,100,0.64,0.84,-0.080074923,1,6.064336357,1.422860719,1,1,1,1,1,1,1,1,160.0582413
55,200,160,100,0.64,0.86,-0.07937006,1,7.307769683,1.710415007,1,1,1,1,1,1,1,1,159.9043291
56,200,160,100,0.64,0.88,-0.100934972,1,6.046350863,1.477367572,1,1,1,1,1,1,1,1,160.1522357
57,200,160,100,0.64,0.9,-0.100506136,1,6.366949951,1.556625049,1,1,1,1,1,1,1,1,159.9780741
58,200,160,100,0.64,0.92,-0.120806141,1,6.043141411,1.542016982,1,1,1,1,1,1,1,1,160.1480218
59,200,160,100,0.64,0.94,-0.120352773,1,6.364894451,1.618167007,1,1,1,1,1,1,1,1,159.9681435
60,200,160,100,0.64,0.96,-0.139509852,1,6.97647566,1.760766963,1,1,1,1,1,1,1,1,160.0737492
61,200,160,100,0.64,0.98,-0.142142169,1,6.66448683,1.706891468,1,1,1,1,1,1,1,1,160.166363
62,200,160,100,0.64,1,-0.159547195,1,6.974748731,1.781070325,1,1,1,1,1,1,1,1,160.0837624
63,200,160,100,0.66,0.6,0.039052777,1,7.287588478,2.53694892,1,1,1,1,0,0,0,0,159.9870311
64,200,160,100,0.66,0.62,0.019774424,1,6.649993527,2.341688727,1,1,1,1,0,0,0,0,160.0387944
65,200,160,100,0.66,0.64,0.017993445,1,6.629664012,2.205168764,1,1,1,1,0,0,0,0,160.0830299
66,200,160,100,0.66,0.66,0.001296784,1,7.275606543,2.167955112,1,1,1,1,0,0,0,0,159.9345402
67,200,160,100,0.66,0.68,-0.000404468,1,6.647658237,1.938508045,1,1,1,1,0,0,0,0,159.9088923
68,200,160,100,0.66,0.7,-0.019617349,1,7.250323953,1.935078978,1,1,1,1,0,0,0,0,160.0251233
69,200,160,100,0.66,0.72,-0.021718497,1,6.61669758,1.722156479,1,1,1,1,0,0,1,0,160.0426228
70,200,160,100,0.66,0.74,-0.039913101,1,7.233130228,1.771306364,1,1,1,1,0,0,1,0,160.0578423
