f,L,C,pin,pout,eff,ilmax,ilmin,vmax,vmin
4.00E+04,2.50E-05,9.21E-05,163.239,98.3538,0.602488,7.50206,1.25485,20.2828,19.1744
4.00E+04,6.12E-05,9.21E-05,133.026,98.9822,0.743946,6.58555,3.00313,20.1377,19.6001
4.00E+04,9.75E-05,9.21E-05,118.308,99.4059,0.839971,6.10823,3.72128,20.1044,19.7513
4.00E+04,0.0001338,9.21E-05,113.994,99.6323,0.873629,5.85001,4.06366,20.0882,19.8245
4.00E+04,0.00017,9.21E-05,111.584,99.7767,0.893681,5.68772,4.263,20.0778,19.8681
4.00E+04,0.0002062,9.21E-05,109.551,99.8673,0.910971,5.57919,4.39203,20.0711,19.8965
4.00E+04,0.0002425,9.21E-05,108.723,99.9338,0.918401,5.4996,4.48434,20.0655,19.9161
4.00E+04,0.0002788,9.21E-05,108.924,99.9851,0.917063,5.43774,4.55402,20.0615,19.9314
4.00E+04,0.000315,9.21E-05,107.976,100.018,0.925309,5.391,4.60523,20.0579,19.9422
4.00E+04,0.0003512,9.21E-05,108.252,100.048,0.923102,5.3535,4.64669,20.0553,19.9513
4.00E+04,0.0003875,9.21E-05,107.504,100.064,0.92956,5.32201,4.68036,20.0525,19.9577
4.00E+04,0.0004238,9.21E-05,107.823,100.079,0.926834,5.29472,4.70872,20.05,19.9633
4.00E+04,0.00046,9.21E-05,108.133,100.086,0.924117,5.27327,4.73073,20.0474,19.9673
4.00E+04,0.0004962,9.21E-05,108.411,100.094,0.921717,5.25311,4.75225,20.0453,19.9716
4.00E+04,0.0005325,9.21E-05,108.648,100.104,0.919683,5.23681,4.76889,20.044,19.9749
4.00E+04,0.0005688,9.21E-05,107.895,100.109,0.92603,5.2224,4.78404,20.0423,19.9775
4.00E+04,0.000605,9.21E-05,108.24,100.106,0.922918,5.20986,4.7958,20.0405,19.9788
4.00E+04,0.0006412,9.21E-05,108.563,100.111,0.920129,5.19729,4.80905,20.0389,19.9816
4.00E+04,0.0006775,9.21E-05,108.899,100.113,0.917199,5.18684,4.81957,20.0378,19.9833
4.00E+04,0.0007138,9.21E-05,109.242,100.11,0.914177,5.17721,4.82852,20.036,19.9844
4.00E+04,0.00075,9.21E-05,109.514,100.111,0.911815,5.16818,4.83761,20.0346,19.9859
4.00E+04,2.50E-05,0.0001078,171.236,98.5807,0.575676,7.5455,1.29711,20.2812,19.2524
4.00E+04,6.12E-05,0.0001078,133.772,99.0096,0.739996,6.64709,2.98104,20.1296,19.6232
4.00E+04,9.75E-05,0.0001078,117.754,99.4198,0.844032,6.14041,3.71512,20.0966,19.7662
4.00E+04,0.0001338,0.0001078,112.761,99.6535,0.88336,5.86799,4.06296,20.0827,19.8367
4.00E+04,0.00017,0.0001078,110.339,99.7974,0.903945,5.6986,4.26398,20.0739,19.8783
4.00E+04,0.0002062,0.0001078,109.186,99.8924,0.914238,5.58501,4.39385,20.0675,19.9056
4.00E+04,0.0002425,0.0001078,108.366,99.9563,0.921629,5.50505,4.48472,20.0632,19.9242
4.00E+04,0.0002788,0.0001078,107.471,100.001,0.929603,5.44316,4.55297,20.0589,19.9378
4.00E+04,0.000315,0.0001078,107.806,100.036,0.926925,5.39409,4.60562,20.056,19.9486
4.00E+04,0.0003512,0.0001078,107.228,100.062,0.932047,5.35538,4.64697,20.0532,19.9567
4.00E+04,0.0003875,0.0001078,107.454,100.084,0.93017,5.32336,4.68014,20.0512,19.9634
4.00E+04,0.0004238,0.0001078,107.747,100.097,0.927648,5.29623,4.70883,20.0488,19.9686
4.00E+04,0.00046,0.0001078,107.981,100.104,0.925587,5.27426,4.73135,20.0466,19.9724
4.00E+04,0.0004962,0.0001078,107.175,100.116,0.932543,5.25517,4.75226,20.045,19.9764
4.00E+04,0.0005325,0.0001078,107.514,100.124,0.929541,5.23889,4.76805,20.0438,19.9791
4.00E+04,0.0005688,0.0001078,107.899,100.13,0.926184,5.22342,4.78473,20.0422,19.9823
4.00E+04,0.000605,0.0001078,108.224,100.135,0.923342,5.20964,4.79804,20.0409,19.9846
4.00E+04,0.0006412,0.0001078,108.534,100.134,0.920579,5.19806,4.80922,20.0393,19.9861
4.00E+04,0.0006775,0.0001078,108.848,100.133,0.917811,5.18728,4.81977,20.038,19.9873
4.00E+04,0.0007138,0.0001078,109.21,100.137,0.914703,5.17755,4.83,20.0369,19.9891
4.00E+04,0.00075,0.0001078,109.547,100.126,0.911664,5.16932,4.83688,20.0349,19.9891
4.00E+04,2.50E-05,0.0001236,173.046,98.6118,0.569833,7.68291,1.16242,20.2632,19.2918
4.00E+04,6.12E-05,0.0001236,131.619,99.0472,0.752385,6.69091,2.96651,20.1228,19.643
4.00E+04,9.75E-05,0.0001236,117.676,99.4573,0.844906,6.15782,3.71192,20.0936,19.7801
4.00E+04,0.0001338,0.0001236,112.084,99.6769,0.888901,5.87702,4.06281,20.0788,19.8472
4.00E+04,0.00017,0.0001236,110.874,99.8173,0.899752,5.70697,4.26407,20.0709,19.8865
4.00E+04,0.0002062,0.0001236,108.633,99.9104,0.919052,5.59269,4.39237,20.0656,19.9121
4.00E+04,0.0002425,0.0001236,108.034,99.9682,0.924566,5.50857,4.48626,20.0604,19.9302
4.00E+04,0.0002788,0.0001236,107.385,100.021,0.930524,5.44423,4.55366,20.0576,19.944
